,FROM_PROBE,FROM_CITY,FROM_STATE,FROM_LATITUDE,FROM_LONGITUDE,TO_PROBE,TO_CITY,TO_STATE,TO_LATITUDE,TO_LONGITUDE,GREAT CIRCLE DISTANCE (in KM),RICCI
240,6061,Dallas,Texas,32.7975,-96.8195,6421,Los Angeles,California,34.0475,-118.2615,1991.1734357546918,-0.8117647066924674
250,6408,Phoenix,Arizona,33.4215,-112.0125,6437,Dallas,Texas,32.7905,-96.7915,1418.2112516762556,-0.5230263158024626
251,6408,Phoenix,Arizona,33.4215,-112.0125,6067,Dallas,Texas,32.8105,-96.8595,1411.6333119196145,-0.6066176472634999
252,6408,Phoenix,Arizona,33.4215,-112.0125,6093,Unknown,Texas,32.9885,-96.9285,1402.9924248004866,-0.6250000001153193
382,6208,St. George,Utah,37.0815,-113.6225,6292,Denver,Colorado,39.7385,-104.9885,807.7844865432512,-0.5000000000153906
384,6208,St. George,Utah,37.0815,-113.6225,6080,Denver,Colorado,39.7375,-104.9785,808.5587579989816,-0.6000000000253167
468,6067,Dallas,Texas,32.8105,-96.8595,6101,Phoenix,Arizona,33.4175,-112.0125,1411.6443737230309,-0.5718954251185957
540,6093,Unknown,Texas,32.9885,-96.9285,6101,Phoenix,Arizona,33.4175,-112.0125,1403.009517773299,-0.5902777778747583
569,6421,Los Angeles,California,34.0475,-118.2615,6437,Dallas,Texas,32.7905,-96.7915,1993.8856134185728,-0.6105263158221603
673,6409,Dallas,Texas,32.8415,-96.8825,6101,Phoenix,Arizona,33.4175,-112.0125,1409.1017553872368,-0.689542483790365
